	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
hhd	Prokaryotes	Bacteria	Firmicutes - Bacilli	Halobacillus halophilus	4170008	4118	690	91
hmn	Prokaryotes	Bacteria	Firmicutes - Bacilli	Halobacillus mangrovi	4142697	3962	738	93
tap	Prokaryotes	Bacteria	Firmicutes - Bacilli	Terribacillus aidingensis	3577082	3230	643	81
vir	Prokaryotes	Bacteria	Firmicutes - Bacilli	Virgibacillus sp. SK37	3841730	3826	676	76
vhl	Prokaryotes	Bacteria	Firmicutes - Bacilli	Virgibacillus halodenitrificans	3917759	3713	706	91
vig	Prokaryotes	Bacteria	Firmicutes - Bacilli	Virgibacillus sp. 6R	4749385	4013	712	88
lao	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lentibacillus amyloliquefaciens	3858284	3587	657	83
fpn	Prokaryotes	Bacteria	Firmicutes - Bacilli	Fictibacillus phosphorivorans	4230665	4145	695	87
far	Prokaryotes	Bacteria	Firmicutes - Bacilli	Fictibacillus arsenicus	4055461	3951	701	87
sje	Prokaryotes	Bacteria	Firmicutes - Bacilli	Salimicrobium jeotgali	2776927	2636	588	92
bse	Prokaryotes	Bacteria	Firmicutes - Bacilli	Bacillus selenitireducens	3592487	3255	677	95
sau	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)	2839469	2624	590	79
sav	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)	2903636	2733	590	76
saw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)	2880168	2699	589	77
sah	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)	2936936	2780	595	81
saj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus JH9 (MRSA/VRSA)	2937129	2726	595	81
sam	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)	2820462	2632	586	80
sas	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)	2820454	2598	587	59
sar	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)	2902619	2656	591	77
sac	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus COL (MRSA)	2813862	2676	585	73
sax	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MSSA)	2903081	2689	568	88
saa	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)	2917469	2604	595	70
sao	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus NCTC8325	2821361	2767	584	77
sae	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus Newman	2878897	2624	589	73
sad	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ED98	2847542	2689	587	83
suu	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)	2788636	2591	587	74
suv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus VC40	2692570	2468	590	77
sue	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ED133	2832478	2653	586	75
suj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)	2832165	2577	590	71
suk	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)	2924344	2680	593	98
suc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ECT-R 2	2759052	2520	589	76
sut	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus T0131 (MRSA)	2913900	2711	591	72
suq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus TCH60	2827166	2700	591	90
suz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)	2868863	2656	592	75
sud	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus 71193	2715000	2623	591	70
sux	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus HO 5096 0412	2832299	2547	588	113
suw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus TW20 (MRSA)	3075806	2808	604	108
sug	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST398 (MRSA)	2885367	2710	592	59
suf	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus LGA251	2753827	2433	591	73
saua	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus 55/2053	2777368	2553	578	64
saue	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus 6850 (MSSA)	2736560	2429	587	84
saun	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)	2757070	2726	588	68
saus	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)	2728308	2465	587	75
sauu	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)	2789538	2549	587	74
saug	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)	2833899	2656	587	76
sauz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)	3018303	2870	604	76
saut	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)	2790364	1986	569	73
sauj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)	2790366	1987	569	73
sauk	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)	2792067	1986	569	73
sauq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)	2790688	1987	569	73
sauv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)	2783022	1983	566	69
sauw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)	2796742	1991	563	68
saux	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)	2792173	1987	569	68
sauy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)	2783086	1981	566	69
sab	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus RF122	2742531	2515	590	73
suy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus 04-02981	2821452	2650	589	81
saub	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus 08BA02176	2782313	2703	591	74
saum	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus M1	2891564	2727	593	61
sauc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus CA-347	2875156	2725	591	76
saur	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus Bmb9393	2983456	2653	598	76
saui	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus USA300-ISMMS1	2951201	2748	591	78
saud	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus 502A	2787689	2500	585	78
sauf	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus NRS 100	2823087	2628	589	72
sams	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus aureus MS4	2709797	2595	554	73
suh	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus argenteus	2787638	2531	585	65
sep	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus epidermidis ATCC 12228	2564615	2482	584	76
ser	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus epidermidis RP62A	2643840	2526	586	83
sepp	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus epidermidis PM221	2597508	2508	582	63
seps	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus epidermidis SEI	2538314	2309	581	78
sha	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus haemolyticus JCSC1435	2697861	2694	582	76
shh	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus haemolyticus Sh29/312/L2	2561368	2417	565	76
ssp	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus saprophyticus	2577899	2514	595	81
sca	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus carnosus	2566424	2460	594	76
slg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus lugdunensis HKU09-01	2658366	2490	572	80
sln	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus lugdunensis N920143	2595888	2425	570	72
ssd	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus pseudintermedius HKU10-03	2617381	2450	595	79
sdt	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus pseudintermedius ED99	2572216	2356	593	80
swa	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus warneri	2560716	2429	591	76
spas	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus pasteuri	2559946	2414	582	64
sxy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus xylosus HKUOPL8	2866963	2538	622	66
sxl	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus xylosus SMQ-121	2757557	2512	622	79
sxo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus xylosus C2a	2786686	2609	630	78
shu	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus hyicus	2472129	2278	587	81
scap	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus capitis	2503265	2374	565	83
ssch	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus schleiferi 1360-13	2435632	2115	589	78
sscz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus schleiferi 2317-03	2582931	2293	588	77
sagq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus agnetis	2503399	2311	588	74
seqo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus equorum	2822193	2681	629	83
ssif	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus simulans	2647552	2390	596	81
scv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Staphylococcus condimenti	2659676	2427	588	80
mcl	Prokaryotes	Bacteria	Firmicutes - Bacilli	Macrococcus caseolyticus	2219737	2061	526	61
mcak	Prokaryotes	Bacteria	Firmicutes - Bacilli	Macrococcus canis	2363414	2438		84
shv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Salinicoccus halodurans	2778379	2644	642	74
sbac	Prokaryotes	Bacteria	Firmicutes - Bacilli	Auricoccus indicus	1745789	1679	452	70
lmo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes EGD-e	2944528	2867	617	181
lmf	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes F2365	2905187	2821	613	86
lmh	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes HCC23	2976212	2974	613	85
lmc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes CLIP 80459	2912690	2766	624	85
lmn	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes 08-5578	3109678	3088	626	73
lmy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes 08-5923	2999054	2966	625	73
lmt	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes 10403S	2903106	2814	623	85
lmg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes FSL R2-561	2973801	2910	624	85
lms	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes Finland 1998	2874431	2762	623	85
lmj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes J0161	3000464	2955	623	73
lmq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes M7	2976163	2977	613	85
lml	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes L99	2979198	2925	613	85
lmp	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes 07PF0776	2901562	2797	616	85
lmw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2755	3023926	2940	622	85
lmx	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2372	3022910	2990	623	85
lmz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes serotype 7 SLCC2482	2986789	2929	622	85
lmon	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2376	2840185	2755	614	85
lmoc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC5850	2907142	2866	622	85
lmos	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC7179	2882234	2826	622	85
lmoo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2378	2941360	2874	621	84
lmoy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2479	2972172	2935	622	83
lmot	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes SLCC2540	2976958	2907	623	85
lmoa	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes ATCC 19117	2951805	2868	622	85
lmol	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes L312	2912346	2821	622	85
lmog	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes serotype 4b LL195	2904662	2838	617	218
lmoe	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes La111	2776517	3131	605	85
lmob	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes N53-1	2776847	3150	604	85
lmoj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes J1-220	2947460	2731	609	74
lmoz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes J1816	3032271	2941	623	86
lmod	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes EGD	2907193	2848	624	85
lmow	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes WSLC1001	2951235	2916	621	86
lmox	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes WSLC1042	2942168	2824	623	86
lmoq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes 6179	3072826	3107	621	108
lmr	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes R479a	3031650	3060	623	120
lmok	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes NE dc2014	2904662	2770	622	86
lmv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes CFSAN006122	2906670	2776	621	86
lmom	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria monocytogenes Lm60	2989591	2904	624	86
lin	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria innocua	3093113	3043	606	84
lwe	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria welshimeri	2814130	2774	607	84
lsg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria seeligeri	2797636	2710	616	85
liv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria ivanovii subsp. ivanovii PAM 55	2928879	2650	618	85
lii	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria ivanovii subsp. ivanovii WSLC 3010	2919548	2683	622	86
liw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria ivanovii WSLC3009	2919538	2773	622	86
lia	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria ivanovii subsp. londoniensis WSLC 30167	2993492	2754	619	86
lio	Prokaryotes	Bacteria	Firmicutes - Bacilli	Listeria ivanovii subsp. londoniensis WSLC 30151	3045035	2825	622	86
esi	Prokaryotes	Bacteria	Firmicutes - Bacilli	Exiguobacterium sibiricum	3040786	3015	616	99
eat	Prokaryotes	Bacteria	Firmicutes - Bacilli	Exiguobacterium sp. AT1b	2999895	3020	620	98
ean	Prokaryotes	Bacteria	Firmicutes - Bacilli	Exiguobacterium antarcticum	2815863	2772	619	93
exm	Prokaryotes	Bacteria	Firmicutes - Bacilli	Exiguobacterium sp. MH3	3164195	3203	622	88
exu	Prokaryotes	Bacteria	Firmicutes - Bacilli	Exiguobacterium sp. U13-1	3208634	3174	639	100
got	Prokaryotes	Bacteria	Firmicutes - Bacilli	Gemella sp. oral taxon 928	1769679	1528	372	57
bbe	Prokaryotes	Bacteria	Firmicutes - Bacilli	Brevibacillus brevis	6296436	5949	785	174
blr	Prokaryotes	Bacteria	Firmicutes - Bacilli	Brevibacillus laterosporus	5153859	4549	719	149
pjd	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. JDR-2	7184930	6213	761	126
gym	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. Y412MC10	7121665	6238	760	101
ppy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa E681	5394883	4764	762	127
ppm	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa SC2	6238510	5387	760	202
ppo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa M1	6231122	5364	766	152
ppol	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa CR1	6019882	4967	767	122
ppq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa SQR-21	5828436	5024	765	150
ppoy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus polymyxa Sb3-1	5829236	4761	757	156
pms	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus mucilaginosus KNP414	8663821	7804	838	153
pmq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus mucilaginosus 3016	8739048	7057	826	212
pmw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus mucilaginosus K02	8819200	7354	828	189
pta	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus terrae	6083395	5525	809	117
plv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus larvae	4056006	3928	662	106
psab	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sabinae	5270569	4788	726	108
pdu	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus durus	6053498	4683	698	112
pbd	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus borealis	8156808	6213	782	117
pgm	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus graminis	7166464	5584	753	119
pod	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus odorifer	6812473	5431	736	117
paen	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL P4-0081	8423054	6415	776	116
paef	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL R5-0345	6787172	5433	736	120
paeq	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL R5-0912	7718525	5853	769	119
pste	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus stellifer	5658798	4464	686	121
paea	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL R7-0273	7288921	5617	760	115
paee	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL R7-0331	6931967	5444	752	116
paeh	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL H7-0357	7692748	6116	759	113
paej	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. FSL H7-0737	6765883	5383	727	122
pbj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus beijingensis	5749967	4728	741	118
pih	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. IHBB 10380	5787303	4606	680	125
pri	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus riograndensis	7919576	6705	786	114
ppeo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus peoriae	6006533	4929	779	139
pnp	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus naphthalenovorans	5200139	5054	758	129
pow	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus sp. 32O-W	5375858	4752	703	89
pbv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus bovis	5354277	4387	734	117
pxl	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus xylanexedens	7098239	5946	775	142
pyg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Paenibacillus yonginensis	4985901	4233	674	117
tco	Prokaryotes	Bacteria	Firmicutes - Bacilli	Thermobacillus composti	4355525	3858	621	101
anx	Prokaryotes	Bacteria	Firmicutes - Bacilli	Aneurinibacillus sp. XH2	3664835	3441	673	153
aac	Prokaryotes	Bacteria	Firmicutes - Bacilli	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	3205686	3084	626	85
aad	Prokaryotes	Bacteria	Firmicutes - Bacilli	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	3124048	3208	631	81
bts	Prokaryotes	Bacteria	Firmicutes - Bacilli	Kyrpidia tusciae	3384766	3150	630	79
siv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Solibacillus silvestris StLB046	3984229	3823	641	133
ssil	Prokaryotes	Bacteria	Firmicutes - Bacilli	Solibacillus silvestris DSM 12223	3991226	3754	641	157
pln	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus sp. PAMC 21323	3199864	3089	645	84
pku	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus kocurii	3485580	3234	654	102
prt	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus rifietoensis	3505011	3386	651	103
pll	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus sp. L10.15	3368246	3180	624	102
pana	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus antarcticus	3830056	3516	668	105
pdg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus donghaensis	3319331	3099	656	117
phc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus halocryophilus	3424893	3215	656	106
pmar	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus maritimus	4149733	3955	659	100
ppla	Prokaryotes	Bacteria	Firmicutes - Bacilli	Planococcus plakortidis	3261818	3055	634	101
jeo	Prokaryotes	Bacteria	Firmicutes - Bacilli	Jeotgalibacillus malaysiensis	4119509	4444	688	146
kur	Prokaryotes	Bacteria	Firmicutes - Bacilli	Kurthia sp. 11kri321	2964527	2893	611	109
spsy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Sporosarcina psychrophila	4674191	4223	715	105
spor	Prokaryotes	Bacteria	Firmicutes - Bacilli	Sporosarcina sp. P33	3235441	3014	627	97
spop	Prokaryotes	Bacteria	Firmicutes - Bacilli	Sporosarcina sp. P37	3335999	3210	620	97
rst	Prokaryotes	Bacteria	Firmicutes - Bacilli	Rummeliibacillus stabekisii	3420739	3244	569	143
ntr	Prokaryotes	Bacteria	Firmicutes - Bacilli	Novibacillus thermophilus	3629225	3231	599	67
lla	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis Il1403	2365589	2277	512	81
llk	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis KF147	2635654	2473	550	87
llt	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis CV56	2518737	2408	521	81
lls	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis IO-1	2421471	2233	529	86
lld	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis KLDS 4.0325	2595492	2598	529	83
llx	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. lactis NCDO 2118	2592264	2378	543	85
llc	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris SK11	2598348	2504	507	83
llm	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris MG1363	2529478	2433	540	69
llr	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris A76	2577104	2769	529	76
lln	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris NZ9000	2530294	2510	529	84
lli	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris UC509.9	2457347	2109	509	79
llw	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis subsp. cremoris KW2	2427048	2268	539	80
llj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus lactis AI06	2398091	2197	538	80
lgr	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus garvieae ATCC 49156	1950135	1947	446	77
lgv	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus garvieae Lg2	1963964	1968	446	77
lpk	Prokaryotes	Bacteria	Firmicutes - Bacilli	Lactococcus piscium	2503066	2403	522	81
spy	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes M1 GAS (serotype M1)	1852433	1693	420	73
spz	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS5005 (serotype M1)	1838562	1841	434	85
spym	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes M1 476 (serotype M1)	1831128	1562	422	73
spm	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS8232 (serotype M18)	1895017	1845	422	12
spg	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS315 (serotype M3)	1900521	1865	422	80
sps	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes SSI-1 (serotype M3)	1894275	1861	420	67
sph	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS10270 (serotype M2)	1928252	1987	449	81
spi	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS10750 (serotype M4)	1937111	1979	444	81
spj	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS2096 (serotype M12)	1860355	1898	437	81
spk	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes MGAS9429 (serotype M12)	1836467	1877	437	85
spf	Prokaryotes	Bacteria	Firmicutes - Bacilli	Streptococcus pyogenes Manfredo (serotype M5)	1841271	1744	420	85
